Generation,GA_Cost,PSO_Cost,ACS_Cost,MEAF_Cost
426,2017.6420,0.0000,0.0000,0.0000
427,2017.6420,0.0000,0.0000,0.0000
428,2017.6420,0.0000,0.0000,0.0000
429,2017.6420,0.0000,0.0000,0.0000
430,2017.6420,0.0000,0.0000,0.0000
431,2017.6420,0.0000,0.0000,0.0000
432,2017.6420,0.0000,0.0000,0.0000
433,2017.6420,0.0000,0.0000,0.0000
434,2017.6420,0.0000,0.0000,0.0000
435,2017.6420,0.0000,0.0000,0.0000
436,2017.6420,0.0000,0.0000,0.0000
437,2017.6420,0.0000,0.0000,0.0000
438,2017.6420,0.0000,0.0000,0.0000
439,2017.6420,0.0000,0.0000,0.0000
440,2017.6420,0.0000,0.0000,0.0000
441,2017.6420,0.0000,0.0000,0.0000
442,2017.6420,0.0000,0.0000,0.0000
443,2017.6420,0.0000,0.0000,0.0000
444,2017.6420,0.0000,0.0000,0.0000
445,2017.6420,0.0000,0.0000,0.0000
446,2017.1480,0.0000,0.0000,0.0000
447,2017.1480,0.0000,0.0000,0.0000
448,2017.1480,0.0000,0.0000,0.0000
449,2017.1480,0.0000,0.0000,0.0000
450,2017.1480,0.0000,0.0000,0.0000
451,2017.1480,0.0000,0.0000,0.0000
452,2017.1480,0.0000,0.0000,0.0000
453,2017.1480,0.0000,0.0000,0.0000
454,2017.1480,0.0000,0.0000,0.0000
455,2017.1480,0.0000,0.0000,0.0000
456,2017.1480,0.0000,0.0000,0.0000
457,2017.1480,0.0000,0.0000,0.0000
458,2017.1480,0.0000,0.0000,0.0000
459,2017.1480,0.0000,0.0000,0.0000
460,2017.1480,0.0000,0.0000,0.0000
461,2017.1480,0.0000,0.0000,0.0000
462,2016.9776,0.0000,0.0000,0.0000
463,2016.9776,0.0000,0.0000,0.0000
464,2016.9776,0.0000,0.0000,0.0000
465,2016.9776,0.0000,0.0000,0.0000
466,2016.9776,0.0000,0.0000,0.0000
467,2016.9776,0.0000,0.0000,0.0000
468,2016.9773,0.0000,0.0000,0.0000
469,2016.9773,0.0000,0.0000,0.0000
